id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
29,28,0.459742096181079,29,10000,28,10000,4622.5,5450.5,828,10073
38,4,0.45573973198183204,38,10000,4,10000,3222,3088.5,133.5,6310.5
39,6,0.4545121924203112,39,10000,6,10000,1375.5,2210,834.5,3585.5
43,13,0.4541122608440204,43,10000,13,10000,3754.5,2435.5,1319,6190
6,3,0.44823123216843247,6,10000,3,10000,2210,1562,648,3772
17,15,0.4473097574451472,17,10000,15,10000,2540,3591.5,1051.5,6131.5
29,12,0.44542229355589197,29,10000,12,10000,4622.5,3106,1516.5,7728.5
26,6,0.44229907579604094,26,10000,6,10000,2680.5,2210,470.5,4890.5
45,1,0.44136726110183927,45,10000,1,10000,1074.5,1052,22.5,2126.5
35,31,0.43731815007028024,35,10000,31,10000,4636.5,3363,1273.5,7999.5
19,18,0.43617042242478826,19,10000,18,10000,2818,2353,465,5171
41,12,0.43541663866426294,41,10000,12,10000,3368.5,3106,262.5,6474.5
11,10,0.4347506959433434,11,10000,10,10000,1164,1904.5,740.5,3068.5
10,7,0.4342832300343077,10,10000,7,10000,1904.5,2547.5,643,4452
25,6,0.43422575649953354,25,10000,6,10000,3228.5,2210,1018.5,5438.5
27,8,0.430843271852474,27,10000,8,10000,1683.5,2469,785.5,4152.5
35,20,0.4294501304239574,35,10000,20,10000,4636.5,3747,889.5,8383.5
38,7,0.4280603275334984,38,10000,7,10000,3222,2547.5,674.5,5769.5
43,41,0.42623029902848847,43,10000,41,10000,3754.5,3368.5,386,7123
3,1,0.4260218953552689,3,10000,1,10000,1562,1052,510,2614
9,2,0.4253463142072032,9,10000,2,10000,2443,1831.5,611.5,4274.5
36,5,0.42177567865253146,36,10000,5,10000,1383.5,1316,67.5,2699.5
30,21,0.4205203405111642,30,10000,21,10000,1390,1749,359,3139
35,19,0.4203567320653849,35,10000,19,10000,4636.5,2818,1818.5,7454.5
45,14,0.4197431354852545,45,10000,14,10000,1074.5,2670,1595.5,3744.5
42,10,0.41747175456056157,42,10000,10,10000,2869.5,1904.5,965,4774
37,2,0.41715174672489025,37,10000,2,10000,1298,1831.5,533.5,3129.5
40,21,0.41517951948411014,40,10000,21,10000,1394.5,1749,354.5,3143.5
8,3,0.41117896803611226,8,10000,3,10000,2469,1562,907,4031
