plate_map_name	well_position	plating_density	line_ID
cmQTL_plate6_8.27.2019	N03	10000	110
cmQTL_plate6_8.27.2019	N04	10000	110
cmQTL_plate6_8.27.2019	N05	10000	0
cmQTL_plate6_8.27.2019	N06	10000	0
cmQTL_plate6_8.27.2019	N07	10000	248
cmQTL_plate6_8.27.2019	N08	10000	248
cmQTL_plate6_8.27.2019	N09	10000	0
cmQTL_plate6_8.27.2019	N10	10000	0
cmQTL_plate6_8.27.2019	N11	10000	236
cmQTL_plate6_8.27.2019	N12	10000	236
cmQTL_plate6_8.27.2019	N13	10000	257
cmQTL_plate6_8.27.2019	N14	10000	257
cmQTL_plate6_8.27.2019	N15	10000	266
cmQTL_plate6_8.27.2019	N16	10000	266
cmQTL_plate6_8.27.2019	N17	10000	0
cmQTL_plate6_8.27.2019	N18	10000	0
cmQTL_plate6_8.27.2019	N19	10000	247
cmQTL_plate6_8.27.2019	N20	10000	247
cmQTL_plate6_8.27.2019	N21	10000	105
cmQTL_plate6_8.27.2019	N22	10000	105
cmQTL_plate6_8.27.2019	N23	10000	239
cmQTL_plate6_8.27.2019	N24	10000	239
cmQTL_plate6_8.27.2019	O01	10000	242
cmQTL_plate6_8.27.2019	O02	10000	242
cmQTL_plate6_8.27.2019	O03	10000	257
cmQTL_plate6_8.27.2019	O04	10000	257
cmQTL_plate6_8.27.2019	O05	10000	240
cmQTL_plate6_8.27.2019	O06	10000	240
cmQTL_plate6_8.27.2019	O07	10000	263
cmQTL_plate6_8.27.2019	O08	10000	263
cmQTL_plate6_8.27.2019	O09	10000	250
cmQTL_plate6_8.27.2019	O10	10000	250
cmQTL_plate6_8.27.2019	O11	10000	253
cmQTL_plate6_8.27.2019	O12	10000	253
cmQTL_plate6_8.27.2019	O13	10000	235
cmQTL_plate6_8.27.2019	O14	10000	235
cmQTL_plate6_8.27.2019	O15	10000	255
cmQTL_plate6_8.27.2019	O16	10000	255
cmQTL_plate6_8.27.2019	O17	10000	265
cmQTL_plate6_8.27.2019	O18	10000	265
cmQTL_plate6_8.27.2019	O19	10000	245
cmQTL_plate6_8.27.2019	O20	10000	245
cmQTL_plate6_8.27.2019	O21	10000	267
